id,cltv
89393,91950.71715191376
89394,130850.20092721269
89395,94717.37510524239
89396,84299.72371015845
89397,127819.18655684724
89398,109955.94988902831
89399,49957.16946809561
89400,106348.61851909866
89401,48820.5145906264
89402,153438.3686693587
89403,151402.79099948765
89404,89434.43773621615
89405,47531.86439536789
89406,51323.44731058377
89407,54815.91627446776
89408,136026.54363333512
89409,123147.60263392555
89410,129786.7991364527
89411,127766.52561628292
89412,135027.70257067465
89413,140074.23025088361
89414,50277.859989500634
89415,49281.558892532565
89416,109096.41150193672
89417,139535.05960030959
89418,97477.71993714444
89419,50583.59208979534
89420,130762.44936676027
89421,136773.8970781591
89422,116902.59282536482
89423,145958.90128253092
89424,47541.63084822181
89425,107410.10036894634
89426,130073.55475388079
89427,103354.06883790968
89428,118020.62705852659
89429,95166.92425356922
89430,53631.33658473158
89431,130726.91779990218
89432,121788.41501455256
89433,52229.197493617445
89434,54363.56647489987
89435,46415.828052110526
89436,107469.48944410651
89437,54437.7856845104
89438,139476.44152453367
89439,49655.43146179047
89440,134142.3782851235
89441,135819.18967422628
89442,69423.29503969796
89443,114478.1613096943
89444,79894.99239022179
89445,111785.48425581286
89446,97271.21177615595
89447,125517.35294269361
89448,137997.1477120312
89449,138989.34744095698
89450,132603.31784928843
89451,122145.63039270994
89452,129228.35099085867
89453,120696.75981020762
89454,133817.86012150827
89455,113651.68552292523
89456,131419.12511659312
89457,107852.4406478396
89458,135410.6095697013
89459,122659.0379641815
89460,131404.52527265076
89461,111675.24040793428
89462,96643.52567294409
89463,110638.47090726365
89464,162965.22136223983
89465,139007.26822433883
89466,50743.258913612204
89467,126383.49234796628
89468,49885.56225825707
89469,99420.8047701773
89470,48245.33571431614
89471,147935.06696887396
89472,123823.50077029564
89473,130697.06260706566
89474,130088.43661917729
89475,112582.5671811563
89476,149331.73715529242
89477,55785.772401636445
89478,138322.1585702564
89479,132219.8256396268
89480,101418.13300989369
89481,50639.8311346562
89482,49817.073579262884
89483,108185.67730855377
89484,50463.81786643948
89485,125544.97402703032
89486,130414.66845613344
89487,120875.04065510191
89488,87518.05948640709
89489,53285.96472104147
89490,88329.80082259701
89491,114420.56530505569
89492,106918.033747961
89493,50451.492098826246
89494,49447.72730378236
89495,106533.21863323942
89496,101034.52793305686
89497,137635.4463765218
89498,106360.19612212127
89499,50432.74941815085
89500,116487.24897630424
89501,63440.00929654175
89502,47285.173251148226
89503,152084.86416804182
89504,150516.3328197862
89505,86006.58002643121
89506,50432.74941815085
89507,112948.29844409699
89508,96643.52567294409
89509,143004.43612618462
89510,51307.4459126868
89511,127260.93710847366
89512,140071.49051491305
89513,106532.18982849666
89514,135624.4416588232
89515,106558.0465436293
89516,49537.6560329841
89517,92508.20155955812
89518,52368.53161481139
89519,136109.63544193044
89520,54251.27163474021
89521,112917.33571003248
89522,50620.54939343912
89523,54378.208250728036
89524,52289.15405512182
89525,99811.44089487488
89526,53180.3854525694
89527,50979.84123532837
89528,97455.96055277139
89529,110879.9460608341
89530,135359.1793265003
89531,139823.4508431583
89532,49383.494889058646
89533,60815.12245660658
89534,99517.77394706699
89535,111767.46230467828
89536,112941.75594173995
89537,122693.98215639168
89538,138514.41632742263
89539,111391.91673941542
89540,54728.48861879459
89541,119060.42046904766
89542,95360.28489179508
89543,54056.466662937375
89544,108457.95883384629
89545,53109.824553666345
89546,158223.15225582453
89547,98146.7581697954
89548,123581.12713775778
89549,99705.24832892865
89550,52769.45254189989
89551,107210.60482460479
89552,87843.40749171787
89553,121313.12102827131
89554,57895.96166364292
89555,51192.270516758006
89556,99149.66484072547
89557,112488.13546420608
89558,146935.3059387694
89559,113647.6402541495
89560,50055.8379103049
89561,126250.0282477762
89562,134563.3453435109
89563,96273.06474639616
89564,139476.44152453367
89565,94768.81534094074
89566,123835.37560406148
89567,97054.49922316887
89568,132631.38420420702
89569,92948.48687173967
89570,131068.03150215486
89571,113912.9478073784
89572,54031.11957665535
89573,47673.29249241313
89574,49419.62106632224
89575,156259.49982917195
89576,116503.22281202905
89577,46165.538095644646
89578,89255.98444448553
89579,137862.13607915526
89580,130179.46966212815
89581,123018.48683648427
89582,46732.23438953755
89583,108133.63792851401
89584,103218.57918961259
89585,49254.993392616576
89586,49565.1244791149
89587,50843.451734240814
89588,46429.86728716133
89589,50224.80243357923
89590,124253.84389145001
89591,155813.35336859574
89592,109533.82953936761
89593,137136.08302667015
89594,100024.99258454221
89595,118582.58882615376
89596,95052.52700678346
89597,48882.81412868897
89598,107840.09019958744
89599,113314.79921356744
89600,106013.01657766127
89601,127241.44397795429
89602,140072.89198556766
89603,111209.4132495038
89604,144476.21122000666
89605,111453.06054476462
89606,133251.35470719542
89607,111257.58693636114
89608,132556.51475513028
89609,108894.43661295262
89610,95806.3191889276
89611,105010.97458668171
89612,156600.6135314246
89613,113647.6402541495
89614,51336.046585186785
89615,100537.93544180196
89616,140102.18575894905
89617,47145.29626982073
89618,88774.83413146225
89619,49946.9064630426
89620,91535.96351236811
89621,148057.4154323805
89622,107014.11740651047
89623,123414.59051106966
89624,140948.93527542043
89625,50591.628751217584
89626,111388.8094642331
89627,50436.06509134581
89628,55061.52710357778
89629,146510.59775364163
89630,112331.64983376366
89631,123895.93159699165
89632,47583.48759061133
89633,108300.98085336538
89634,123129.22108329291
89635,123325.09139281597
89636,130232.63871411295
89637,47307.387574884895
89638,95506.14748431733
89639,111475.28715711068
89640,121076.41396367607
89641,53906.671068650816
89642,49779.71692920991
89643,86861.64581481284
89644,129296.69750661054
89645,124009.87016051989
89646,141395.88232675113
89647,47829.13773115661
89648,47087.02880348354
89649,109003.37932320387
89650,112124.5640666443
89651,84069.09359830011
89652,101973.87257931942
89653,110230.0929897385
89654,110677.24334127233
89655,140071.49051491305
89656,105293.21181860613
89657,46918.29437812692
89658,137678.83465032338
89659,129229.60500794285
89660,120475.71723365004
89661,100577.35259179313
89662,131177.40720393718
89663,54008.73375942983
89664,53377.32505437191
89665,94003.4293344158
89666,47255.802044734446
89667,51277.89040141243
89668,141981.1355654213
89669,110792.52642965173
89670,142434.75604295515
89671,111333.56653836797
89672,125085.12935410162
89673,54036.07411559701
89674,137919.08460889547
89675,107045.3159146726
89676,49248.60432821742
89677,50982.21025374097
89678,124789.16887705024
89679,132034.87939221188
89680,47652.36090732864
89681,114300.71455060177
89682,47107.393384502975
89683,127391.63826982211
89684,89471.66796015867
89685,116342.04781347321
89686,52446.283646714095
89687,49779.71692920991
89688,121295.5865317169
89689,50673.89520712352
89690,112644.90706518566
89691,52841.034075442316
89692,116438.56359069863
89693,149324.20215942204
89694,113409.94488841604
89695,120475.71723365004
89696,110462.52379142793
89697,64641.37538619238
89698,119779.63976406418
89699,49484.72873636859
89700,45737.571623993106
89701,87244.80123124801
89702,144386.55242428332
89703,48172.582267950485
89704,141560.86081743002
89705,124187.4787762977
89706,105573.86397930341
89707,50550.169623458154
89708,130391.05902090769
89709,54921.55195827645
89710,108349.32389283455
89711,119034.12006278311
89712,118095.43837967621
89713,106193.6937793465
89714,146735.35800515383
89715,147959.91893796716
89716,47198.54151488615
89717,155421.00855060612
89718,99984.31754185262
89719,116727.63309838575
89720,71706.6208144519
89721,133933.81889149817
89722,45470.81875290772
89723,89403.32834678589
89724,92837.71503740406
89725,122211.95623160036
89726,48446.361449102755
89727,46766.66828758493
89728,54138.77460919781
89729,154767.64550458474
89730,94768.81534094074
89731,139781.85811844296
89732,49165.41853471527
89733,129749.01584822683
89734,112948.29844409699
89735,129142.96365698181
89736,90044.10334794776
89737,131830.60896532622
89738,46662.481412999245
89739,48740.467748927054
89740,125239.07935869516
89741,107554.20262479923
89742,123876.5745281169
89743,110094.94125505019
89744,45159.52222218374
89745,122928.8720590144
89746,47430.53222605723
89747,122802.59341512872
89748,114552.10985584848
89749,60960.80408144014
89750,112775.07876585126
89751,109105.59676900288
89752,44509.34906106002
89753,122447.87672080623
89754,125245.69409844362
89755,122548.95882485743
89756,47885.47550146759
89757,143290.99386852275
89758,120003.12256181042
89759,124142.49516702468
89760,51390.157559089224
89761,124990.55221912419
89762,121190.21282995485
89763,111090.39740252846
89764,98582.56629414472
89765,120509.7571817722
89766,142338.6880846773
89767,145789.6380717323
89768,99412.82145477373
89769,113576.71879919597
89770,68838.90721810177
89771,120627.01659323306
89772,109153.47863980611
89773,108854.50691219028
89774,139498.82539260903
89775,128606.95659478927
89776,121644.13688049227
89777,101782.51167394593
89778,178391.54476751978
89779,45651.61109846728
89780,53904.805124417864
89781,111460.90337973836
89782,97549.42584645034
89783,128951.36003780141
89784,85400.57488020473
89785,104933.08495750549
89786,121099.51078627714
89787,114543.63300199818
89788,153580.83667859924
89789,53841.594749900636
89790,122928.8720590144
89791,53552.76174747588
89792,111164.06935612083
89793,159048.88098929657
89794,154701.40253555586
89795,105958.06244997172
89796,50029.42450694261
89797,118773.22460951227
89798,46809.176465396835
89799,49946.9064630426
89800,119329.07926247001
89801,100744.54212562581
89802,140349.5575026746
89803,131622.10491454692
89804,120599.5922659953
89805,111618.29472198017
89806,128170.35962188826
89807,106532.18982849666
89808,49067.36967087524
89809,131622.10491454692
89810,109197.92499118659
89811,94892.95628510632
89812,50500.62497432694
89813,46661.090184249995
89814,48259.44238039392
89815,71490.7382711423
89816,145776.12941076554
89817,125174.07252329642
89818,50304.50958196639
89819,113073.51625506736
89820,47699.702472716344
89821,47201.58026375288
89822,47396.680282294896
89823,45768.24200768909
89824,121268.07173464807
89825,50596.2810233105
89826,118996.88089017455
89827,116701.39832522742
89828,129520.01627396765
89829,109248.46011159086
89830,49740.59776627095
89831,134563.3453435109
89832,102454.10824321653
89833,56237.2140254319
89834,112239.10473334673
89835,49735.13861017763
89836,117242.54641280117
89837,96051.67562820046
89838,45334.47840969889
89839,115459.63990849165
89840,128596.00123499846
89841,47148.20146381737
89842,66499.42244187155
89843,132025.03941190295
89844,47234.02881270236
89845,46570.71641162918
89846,115229.0340774278
89847,87296.47417651687
89848,45938.133718456804
89849,51779.58794670458
89850,50373.4831760415
89851,128530.13787363523
89852,118521.01626103476
89853,144993.7801799287
89854,125044.88281815882
89855,116275.87899496664
89856,145958.90128253092
89857,49423.04464844089
89858,103909.02628719041
89859,89758.89452804986
89860,48561.90223530803
89861,147281.70392285258
89862,121933.29948288076
89863,110732.62598090775
89864,83336.52317172968
89865,47367.091311363896
89866,127219.95487873115
89867,150647.45415402847
89868,49859.57446562613
89869,100606.56405406288
89870,169830.7323870182
89871,66415.10522821658
89872,115764.2737825457
89873,163534.68516969163
89874,90737.11170702
89875,110311.93599660153
89876,122674.95549847787
89877,67465.05033264146
89878,49309.835733490494
89879,45159.52222218374
89880,43998.5364378257
89881,138866.5961496054
89882,140173.41978440323
89883,106485.01155474443
89884,115934.76529271399
89885,116701.39832522742
89886,98146.7581697954
89887,125399.00246696656
89888,130414.66845613344
89889,156699.7428869822
89890,92927.18227684863
89891,129228.35099085867
89892,46988.23969029748
89893,107502.53213773188
89894,46182.88682210413
89895,54077.96868302899
89896,113202.6925807037
89897,112601.6765404029
89898,53606.340818879464
89899,136056.087465289
89900,82006.18381756305
89901,103757.70266874298
89902,125848.46974549371
89903,124742.29971770685
89904,83722.52609626805
89905,57112.69183798477
89906,139707.2392666146
89907,97024.09945961057
89908,47093.36365927073
89909,121770.58686705682
89910,129596.70919668497
89911,105144.78673927764
89912,106015.82948621768
89913,59946.2812095419
89914,105198.2958144247
89915,129842.79203231531
89916,120638.52479636374
89917,141413.91712360192
89918,118897.83234415164
89919,130257.02150391771
89920,50686.30434598188
89921,128714.85539470291
89922,116537.76201069092
89923,142905.30677062704
89924,122659.0379641815
89925,43973.38112199502
89926,56983.797837328566
89927,97471.92149257504
89928,139089.0353251246
89929,136482.9401431355
89930,119153.2527810709
89931,155472.23966634308
89932,127036.70588823652
89933,49583.99507464459
89934,121522.28051897437
89935,130923.43676762524
89936,52859.07664031597
89937,117237.05740684413
89938,119818.20719862927
89939,132149.0558121085
89940,47560.220845878
89941,142113.67060404274
89942,101618.82275427715
89943,156259.49982917195
89944,122788.99042305889
89945,109593.66717297697
89946,86864.65562809545
89947,124143.30334071719
89948,97414.82244330949
89949,122853.2201330837
89950,96776.78564571112
89951,55135.02247605023
89952,120366.36237168529
89953,128606.95659478927
89954,97979.56863596271
89955,97024.09945961057
89956,120202.04304416387
89957,50418.49662370286
89958,100530.73205916659
89959,91280.42117591602
89960,154195.7690807666
89961,48048.2690729249
89962,109831.4272978436
89963,49832.594282888196
89964,99203.54646647722
89965,114861.88626877066
89966,105294.69247525412
89967,107616.99689407599
89968,122599.2508702438
89969,121274.83927277029
89970,157029.38838130474
89971,49969.820491935396
89972,114912.00806661446
89973,52486.892427916944
89974,123931.75307925593
89975,137908.9176703914
89976,47136.777842680895
89977,96215.85534875054
89978,134613.8445996806
89979,99532.26609840571
89980,130199.4223299907
89981,51102.3084226528
89982,135007.20045907563
89983,63580.1734081222
89984,175038.44711353167
89985,121637.71308207544
89986,147869.31562277698
89987,54316.661496085544
89988,53606.340818879464
89989,49412.1392157124
89990,128762.5193484197
89991,96163.17180835315
89992,120420.5448312166
89993,123265.85858020981
89994,51881.66423019278
89995,52928.665215479996
89996,47902.02856974893
89997,122599.2508702438
89998,45937.74418414476
89999,146319.61006194385
90000,49145.43987951525
90001,49146.29048776979
90002,130383.98091554835
90003,118125.8381432345
90004,138797.06729954496
90005,141654.4283013547
90006,48413.63449196137
90007,124899.80446788754
90008,127288.99757872862
90009,50535.29443515563
90010,50094.02535900869
90011,54854.27067106977
90012,118863.22132528554
90013,152547.04576898835
90014,170523.46672225147
90015,50480.88095368853
90016,101798.92245792564
90017,139471.40536857734
